Naam,Profiel-tag,Functie-tag,Beschrijving
MeiliSearch,Affiliate,search,Razendsnelle zoekmachine voor prijsvergelijkingssites
AffiliateEngine,Affiliate,tools,AI-gestuurde content generator voor niche websites
Amoeba,Affiliate,tools,Automatische prijsvergelijker met AI-matching
Grokker,AI-Data,data,Data discovery en classificatie tool
JupyterHub,AI-Data,dev-tool,Multi-user platform voor Data Science en Python notebooks
MLflow,AI-Data,dev-tool,Platform voor het beheren van de Machine Learning lifecycle
Superset,AI-Data,data,Moderne data exploratie en visualisatie (BI)
Airflow,AI-Data,automation,Workflow orchestratie voor complexe data-pipelines
OpenMetadata,AI-Data,data,Centraal beheer van data-assets en lineage
LabelStudio,AI-Data,data,Data-annotatie tool voor het trainen van eigen AI-modellen
Tika,AI-Data,data,Content analyse en extractie voor grote datasets
Weights-Biases,AI-Data,dev-tool,Tracking van machine learning experimenten
Benthos,AI-Data,automation,Stream-processor voor complexe data-transformaties
NocoDB,AI-Data,data,Smart spreadsheet (Airtable alternatief) op je eigen SQL
VannaAI,AI-Data,data,SQL-generatie via natuurlijke taal (Text-to-SQL)
AITable,AI-Data,data,AI-gestuurde database voor projectmanagement
Ollama,AI-Ops,llm,Lokale runner voor grote taalmodellen (Llama 3, Mistral)
Open-WebUI,AI-Ops,ui,ChatGPT-stijl interface voor lokaal gehoste LLM's
AnythingLLM,AI-Ops,llm,Enterprise-grade RAG-systeem om documenten te chatten
Qdrant,AI-Ops,database,Vector database voor AI-zoekopdrachten en geheugen
ChromaDB,AI-Ops,database,Lichtgewicht vector store voor AI-agenten
LocalAI,AI-Ops,api,Open-source OpenAI-compatibele API voor lokale modellen
Flowise,AI-Ops,automation,Visuele drag-and-drop builder voor AI-workflows (LangChain)
Langflow,AI-Ops,automation,Low-code UI voor het ontwerpen van complexe AI-pipelines
Stirling-PDF-AI,AI-Ops,office,PDF-bewerking met AI-samenvattingen en OCR
Whisper-ASR,AI-Ops,media,Spraak-naar-tekst transcriptie op basis van OpenAI Whisper
Stable-Diffusion-WebUI,AI-Ops,media,AI-beeldgeneratie (Text-to-Image) op eigen hardware
ComfyUI,AI-Ops,media,Geavanceerde knooppunt-gebaseerde UI voor Stable Diffusion
Frigate,AI-Ops,security,NVR met AI-objectdetectie (mensen, auto's) voor camera's
Danswer,AI-Ops,search,Enterprise AI-zoekmachine die al je bedrijfsbronnen koppelt
HuggingFace-Inference,AI-Ops,api,Lokale inference endpoint voor transformer modellen
DeepStack,AI-Ops,security,AI-server voor gezichts- en objectherkenning
Facebox,AI-Ops,security,Gezichtsherkenning via een eenvoudige API
TextSynth,AI-Ops,llm,Lichtgewicht server voor tekstgeneratie modellen
PrivateGPT,AI-Ops,llm,Chat met je documenten zonder dat data je server verlaat
BabyBuddy,Algemeen,lifestyle,Baby-tracking software
Baserow,Algemeen,data,No-code database (Airtable kloon)
Bitwarden,Algemeen,security,Wachtwoordbeheerder voor teams
Cal.com,Algemeen,tools,Open-source alternatief voor Calendly (afspraken plannen)
Cryptpad,Algemeen,office,Privacy-vriendelijke samenwerking
Dashboard,Algemeen,ui,Centrale startpagina
Discourse,Algemeen,community,Discussieplatform
Element,Algemeen,chat,Matrix chat-cliënt
Etherpad,Algemeen,office,Real-time teksteditor
Flarum,Algemeen,community,Forumsoftware
FreshRSS,Algemeen,media,RSS-feed aggregator
Grocy,Algemeen,lifestyle,Huishoudbeheer
Heimdall,Algemeen,ui,App-dashboard
Homer,Algemeen,ui,Service dashboard
Jitsi Meet,Algemeen,chat,Video-conferencing
